"cntyvtd","romney","obama","pct_obama","pct_romney","votes_2012","trump","clinton","pct_trump","pct_clinton","votes_2016","pct_latino"
"0291071",346,518,0.579418344519016,0.387024608501119,894,339,571,0.350931677018634,0.591097308488613,966,0.709491850431448
"0291072",235,522,0.670951156812339,0.302056555269923,778,284,677,0.27047619047619,0.644761904761905,1050,0.622242098986285
"0291073",1199,1171,0.486295681063123,0.497923588039867,2408,1210,1314,0.438564697354114,0.476259514316781,2759,0.452050997782705
"0291074",3,7,0.7,0.3,10,1,8,0.1,0.8,10,0.981132075471698
"0291075",209,546,0.700898587933248,0.268292682926829,779,201,625,0.229452054794521,0.713470319634703,876,0.862324492979719
"0291076",514,912,0.619986403806934,0.349422161794697,1471,500,912,0.334448160535117,0.610033444816053,1495,0.694029850746269
"0291077",136,609,0.79296875,0.177083333333333,768,139,662,0.166467065868263,0.792814371257485,835,0.947333333333333
"0291078",37,183,0.813333333333333,0.164444444444444,225,33,183,0.144736842105263,0.802631578947368,228,0.968166849615807
"0291079",928,1322,0.574033868866696,0.402952670429874,2303,885,1568,0.332456799398948,0.589030803906837,2662,0.560995559710213
"0291081",476,146,0.231012658227848,0.753164556962025,632,555,254,0.646853146853147,0.296037296037296,858,0.189289012003693
"0291082",636,1182,0.634460547504026,0.341384863123994,1863,745,1434,0.320567986230637,0.617039586919105,2324,0.722963315864697
"0291083",669,838,0.537524053880693,0.429121231558691,1559,610,966,0.362663495838288,0.574316290130797,1682,0.572284644194757
"0291084",267,561,0.656140350877193,0.312280701754386,855,273,610,0.289808917197452,0.64755838641189,942,0.824812834224599
"0291085",233,465,0.642265193370166,0.321823204419889,724,209,515,0.274638633377135,0.676741130091984,761,0.822321849929212
"0291086",392,714,0.626315789473684,0.343859649122807,1140,378,852,0.294621979734996,0.66406858924396,1283,0.729296972729547
"0291087",190,485,0.701881331403763,0.274963820549928,691,191,489,0.271692745376956,0.695590327169274,703,0.823162077774624
"0291088",68,304,0.793733681462141,0.177545691906005,383,75,319,0.183374083129584,0.779951100244499,409,0.971397139713971
"0291089",111,140,0.53639846743295,0.425287356321839,261,159,192,0.422872340425532,0.51063829787234,376,0.787851314596555
"0291091",195,562,0.725161290322581,0.251612903225806,775,279,727,0.264957264957265,0.690408357075024,1053,0.906348373557188
"0291092",55,216,0.788321167883212,0.200729927007299,274,67,266,0.190883190883191,0.757834757834758,351,0.914470412729985
"0291093",188,175,0.460526315789474,0.494736842105263,380,183,192,0.443099273607748,0.464891041162228,413,0.452415812591508
"0291095",67,45,0.391304347826087,0.582608695652174,115,54,52,0.425196850393701,0.409448818897638,127,0.196111111111111
