"CNTY","e_total","e_hsp","e_hspvap","e_vap","cntyvtd","trump","clinton","pct_trump","pct_clinton","wt_2016","votes","pct_latino","pct_latino_vap"
29,933,673,536,784,"0291001",85,334,0.191011235955056,0.750561797752809,0.000749146898447667,445,0.721329046087889,0.683673469387755
29,1029,628,414,748,"0291002",113,231,0.305405405405405,0.624324324324324,0.00062288618522615,370,0.610301263362488,0.553475935828877
29,2926,2697,1980,2189,"0291003",136,706,0.151785714285714,0.787946428571429,0.00150839465395305,896,0.921736158578264,0.904522613065327
29,2417,2227,1507,1649,"0291004",55,330,0.138539042821159,0.831234256926952,0.000668340041985896,397,0.921390153082334,0.913887204366283
29,1534,1465,1071,1126,"0291005",56,287,0.15819209039548,0.810734463276836,0.00059595056640556,354,0.955019556714472,0.951154529307282
29,4180,3998,2908,3053,"0291006",181,829,0.172709923664122,0.791030534351145,0.00176428303274866,1048,0.956459330143541,0.95250573206682
29,2133,2019,1461,1561,"0291007",151,502,0.224035608308605,0.744807121661721,0.00113466294281736,674,0.946554149085795,0.935938500960922
29,2675,2030,1568,2140,"0291008",153,855,0.140883977900552,0.787292817679558,0.00182825512744756,1086,0.758878504672897,0.732710280373832
29,1273,721,424,812,"0291009",332,507,0.369710467706013,0.564587973273942,0.00151176160630563,898,0.566378633150039,0.522167487684729
29,1171,1020,782,913,"0291010",55,233,0.175718849840256,0.744408945686901,0.000526928043177797,313,0.871050384286934,0.856516976998905
29,1057,1004,733,778,"0291011",50,171,0.222222222222222,0.76,0.000378782139664551,225,0.949858088930937,0.942159383033419
29,4112,3182,2114,2904,"0291012",319,696,0.296468401486989,0.646840148698885,0.00181142036568469,1076,0.773832684824903,0.727961432506887
29,4210,4018,2948,3113,"0291013",176,907,0.156166814551908,0.804791481810115,0.00189727765067533,1127,0.954394299287411,0.946996466431095
29,2876,2755,1928,2027,"0291014",77,449,0.141544117647059,0.825367647058823,0.000915811039900069,544,0.957927677329624,0.951159348791317
29,2859,2746,1968,2051,"0291015",117,453,0.195979899497487,0.758793969849246,0.00100503527724327,597,0.960475690800979,0.959531935641151
29,2225,2148,1512,1581,"0291016",83,432,0.153419593345656,0.798521256931608,0.000910760611371208,541,0.965393258426966,0.956356736242884
29,328,269,197,248,"0291017",34,50,0.350515463917526,0.515463917525773,0.000163297189099828,97,0.820121951219512,0.794354838709677
29,4949,4617,3242,3518,"0291018",204,753,0.203187250996016,0.75,0.00169021008099204,1004,0.932915740553647,0.921546333143832
29,2837,2512,1380,1613,"0291019",70,275,0.18970189701897,0.745257452574526,0.000621202709049863,369,0.88544236869933,0.855548667079975
29,4027,3515,2498,2959,"0291020",263,810,0.233570159857904,0.719360568383659,0.00189559417449904,1126,0.872858207102061,0.844204123014532
29,3313,3080,2159,2344,"0291021",154,612,0.189655172413793,0.753694581280788,0.00136698265514496,812,0.929670993057652,0.921075085324232
29,1718,1643,1210,1274,"0291022",85,351,0.18640350877193,0.769736842105263,0.000767665136386822,456,0.956344586728754,0.949764521193093
29,4750,4607,3300,3415,"0291023",162,872,0.150557620817844,0.810408921933085,0.00181142036568469,1076,0.969894736842105,0.966325036603221
29,5178,3613,2344,3589,"0291024",552,1031,0.328571428571429,0.613690476190476,0.00282823997616198,1680,0.697759752800309,0.653106714962385
29,1549,1495,986,1029,"0291025",30,184,0.13215859030837,0.81057268722467,0.000382149092017124,227,0.965138799225307,0.95821185617104
29,2773,2612,1827,1953,"0291026",106,472,0.176961602671119,0.787979966611018,0.00100840222959585,599,0.941940137035701,0.935483870967742
29,1098,1029,669,731,"0291027",23,97,0.185483870967742,0.782258064516129,0.000208751045859575,124,0.937158469945355,0.915184678522572
29,2042,1909,1381,1492,"0291028",87,337,0.195067264573991,0.755605381165919,0.000750830374623953,446,0.93486777668952,0.925603217158177
29,2970,2817,2027,2154,"0291029",114,609,0.150197628458498,0.802371541501976,0.00127775841780175,759,0.948484848484848,0.941039925719591
29,66,39,26,47,"0291030",12,11,0.413793103448276,0.379310344827586,0.0000488208091123198,29,0.590909090909091,0.553191489361702
29,3078,2918,2000,2139,"0291031",95,528,0.144817073170732,0.804878048780488,0.0011043603716442,656,0.948018193632229,0.935016362786349
29,4408,4281,3043,3136,"0291032",137,821,0.135241855873643,0.810463968410661,0.00170536136657862,1013,0.971188747731397,0.970344387755102
29,3974,3147,2026,2691,"0291033",278,535,0.322880371660859,0.62137049941928,0.00144947298778301,861,0.791897332662305,0.752879970271275
29,6698,3258,2052,4552,"0291034",1656,1570,0.478060046189376,0.453233256351039,0.00583156147465779,3464,0.486413854882054,0.45079086115993
29,10153,791,703,9758,"0291035",180,110,0.524781341107872,0.32069970845481,0.000577432328466404,343,0.0779080074854723,0.0720434515269522
29,6794,4628,2788,4490,"0291036",642,992,0.370242214532872,0.572087658592849,0.00291914768968147,1734,0.681189284662938,0.620935412026726
29,5891,4853,3144,4020,"0291037",306,760,0.270318021201413,0.671378091872792,0.00190569503155676,1132,0.823799015447293,0.782089552238806
29,5135,4060,2577,3463,"0291038",423,897,0.303225806451613,0.643010752688172,0.00234844926592021,1395,0.790652385589094,0.744152468957551
29,7845,7209,4436,4937,"0291039",201,791,0.194015444015444,0.763513513513513,0.00174408131863322,1036,0.918929254302103,0.898521369252583
29,4959,4769,3253,3405,"0291040",135,815,0.135270541082164,0.816633266533066,0.00168010922393432,998,0.961685823754789,0.955359765051395
29,4513,4310,3141,3301,"0291041",153,732,0.164870689655172,0.788793103448276,0.00156226589159424,928,0.955018834478174,0.951529839442593
